:LABEL;:ID;type;open_date;closed_date
Claim;302;Incidente Auto;2023-01-17T21:07:38.335492;2023-01-22T21:17:30.335492
Claim;305;Incendio doloso Auto;2022-08-13T21:07:04.335492;
Claim;308;Furto in Casa;2022-08-07T21:09:19.336492;2022-08-12T21:19:51.336492
Claim;311;Incendio doloso Casa;2022-09-02T21:09:00.337494;2022-09-07T21:15:53.337494
Claim;314;Furto Auto;2022-07-11T21:10:07.337494;
Claim;317;Furto in Casa;2022-10-20T21:08:35.338492;2022-10-25T21:14:02.338492
Claim;320;Incendio doloso Casa;2022-04-25T21:06:05.338492;2022-04-30T21:16:50.338492
Claim;323;Furto in Casa;2022-10-27T21:11:54.338492;2022-11-01T21:17:28.338492
Claim;326;Furto Auto;2022-08-15T21:11:54.339490;2022-08-20T21:19:31.339490
Claim;329;Furto in Casa;2022-12-27T21:09:04.340491;2023-01-01T21:18:42.340491
Claim;332;Incendio doloso Casa;2022-08-13T21:10:04.340491;2022-08-18T21:15:54.340491
Claim;335;Incendio doloso Casa;2022-06-24T21:10:12.340491;2022-06-29T21:17:26.340491
Claim;338;Incendio doloso Auto;2022-05-19T21:08:58.340491;
Claim;341;Incidente Auto;2022-03-15T21:10:48.340491;2022-03-20T21:17:28.340491
Claim;344;Incidente Auto;2022-04-17T21:09:17.342050;
Claim;347;Incendio doloso Auto;2022-10-24T21:11:05.343011;
Claim;350;Furto in Casa;2022-02-07T21:10:28.343011;
Claim;353;Furto Auto;2022-12-14T21:10:57.343011;2022-12-19T21:21:37.343011
Claim;356;Incendio doloso Casa;2022-04-23T21:09:56.343011;2022-04-28T21:19:06.343011
Claim;359;Incidente Auto;2022-11-29T21:09:33.343011;
Claim;361;Incendio doloso Auto;2022-11-13T21:11:41.344008;2022-11-18T21:19:23.344008
Claim;363;Furto Auto;2022-11-28T21:07:41.344008;
Claim;364;Furto in Casa;2022-09-09T21:07:14.345015;2022-09-14T21:15:29.345015
Claim;365;Incendio doloso Casa;2022-12-03T21:11:35.345015;
