:START_ID;:END_ID;:TYPE
449400;449401;HAS_ADDRESS
449405;449406;HAS_ADDRESS
449410;449411;HAS_ADDRESS
449415;449416;HAS_ADDRESS
449420;449421;HAS_ADDRESS
449425;449426;HAS_ADDRESS
449430;449431;HAS_ADDRESS
449435;449436;HAS_ADDRESS
449440;449441;HAS_ADDRESS
449445;449446;HAS_ADDRESS
449450;449451;HAS_ADDRESS
449455;449456;HAS_ADDRESS
449460;449461;HAS_ADDRESS
449465;449466;HAS_ADDRESS
449470;449471;HAS_ADDRESS
449475;449476;HAS_ADDRESS
449480;449481;HAS_ADDRESS
449485;449486;HAS_ADDRESS
449490;449491;HAS_ADDRESS
449495;449496;HAS_ADDRESS
449500;449501;HAS_ADDRESS
449505;449506;HAS_ADDRESS
449510;449511;HAS_ADDRESS
449515;449516;HAS_ADDRESS
449520;449521;HAS_ADDRESS
449525;449526;HAS_ADDRESS
449530;449531;HAS_ADDRESS
449535;449536;HAS_ADDRESS
449540;449541;HAS_ADDRESS
449545;449546;HAS_ADDRESS
449550;449551;HAS_ADDRESS
449555;449556;HAS_ADDRESS
449560;449561;HAS_ADDRESS
449565;449566;HAS_ADDRESS
449570;449571;HAS_ADDRESS
449575;449576;HAS_ADDRESS
449580;449581;HAS_ADDRESS
449585;449586;HAS_ADDRESS
449590;449591;HAS_ADDRESS
449595;449596;HAS_ADDRESS
449600;449601;HAS_ADDRESS
449605;449606;HAS_ADDRESS
449610;449611;HAS_ADDRESS
449615;449616;HAS_ADDRESS
449620;449621;HAS_ADDRESS
449625;449626;HAS_ADDRESS
449630;449631;HAS_ADDRESS
449635;449636;HAS_ADDRESS
449640;449641;HAS_ADDRESS
449645;449646;HAS_ADDRESS
449650;449651;HAS_ADDRESS
449655;449656;HAS_ADDRESS
449660;449661;HAS_ADDRESS
449665;449666;HAS_ADDRESS
449670;449671;HAS_ADDRESS
449675;449676;HAS_ADDRESS
449680;449681;HAS_ADDRESS
449685;449686;HAS_ADDRESS
449690;449691;HAS_ADDRESS
449695;449696;HAS_ADDRESS
449700;449701;HAS_ADDRESS
449705;449706;HAS_ADDRESS
449710;449711;HAS_ADDRESS
449715;449716;HAS_ADDRESS
449720;449721;HAS_ADDRESS
449725;449726;HAS_ADDRESS
449730;449731;HAS_ADDRESS
449735;449736;HAS_ADDRESS
449740;449741;HAS_ADDRESS
449745;449746;HAS_ADDRESS
449750;449751;HAS_ADDRESS
449755;449756;HAS_ADDRESS
449760;449761;HAS_ADDRESS
449765;449766;HAS_ADDRESS
449770;449771;HAS_ADDRESS
449775;449776;HAS_ADDRESS
449780;449781;HAS_ADDRESS
449785;449786;HAS_ADDRESS
449790;449791;HAS_ADDRESS
449795;449796;HAS_ADDRESS
449800;449801;HAS_ADDRESS
449805;449806;HAS_ADDRESS
449810;449811;HAS_ADDRESS
449815;449816;HAS_ADDRESS
449820;449821;HAS_ADDRESS
449825;449826;HAS_ADDRESS
449830;449831;HAS_ADDRESS
449835;449836;HAS_ADDRESS
449840;449841;HAS_ADDRESS
449845;449846;HAS_ADDRESS
449850;449851;HAS_ADDRESS
449855;449856;HAS_ADDRESS
449860;449861;HAS_ADDRESS
449865;449866;HAS_ADDRESS
449870;449871;HAS_ADDRESS
449875;449876;HAS_ADDRESS
449880;449881;HAS_ADDRESS
449885;449886;HAS_ADDRESS
449890;449891;HAS_ADDRESS
449895;449896;HAS_ADDRESS
449900;449901;HAS_ADDRESS
449905;449906;HAS_ADDRESS
449910;449911;HAS_ADDRESS
449915;449916;HAS_ADDRESS
449920;449921;HAS_ADDRESS
449925;449926;HAS_ADDRESS
449930;449931;HAS_ADDRESS
449935;449936;HAS_ADDRESS
449940;449941;HAS_ADDRESS
449945;449946;HAS_ADDRESS
449950;449951;HAS_ADDRESS
449955;449956;HAS_ADDRESS
449960;449961;HAS_ADDRESS
449965;449966;HAS_ADDRESS
449970;449971;HAS_ADDRESS
449975;449976;HAS_ADDRESS
449980;449981;HAS_ADDRESS
449985;449986;HAS_ADDRESS
449990;449991;HAS_ADDRESS
449995;449996;HAS_ADDRESS
450000;450001;HAS_ADDRESS
450005;450006;HAS_ADDRESS
450010;450011;HAS_ADDRESS
450015;450016;HAS_ADDRESS
450020;450021;HAS_ADDRESS
450025;450026;HAS_ADDRESS
450030;450031;HAS_ADDRESS
450035;450036;HAS_ADDRESS
450040;450041;HAS_ADDRESS
450045;450046;HAS_ADDRESS
450050;450051;HAS_ADDRESS
450055;450056;HAS_ADDRESS
450060;450061;HAS_ADDRESS
450065;450066;HAS_ADDRESS
450070;450071;HAS_ADDRESS
450075;450076;HAS_ADDRESS
450080;450081;HAS_ADDRESS
450085;450086;HAS_ADDRESS
450090;450091;HAS_ADDRESS
450095;450096;HAS_ADDRESS
450100;450101;HAS_ADDRESS
450105;450106;HAS_ADDRESS
450110;450111;HAS_ADDRESS
450115;450116;HAS_ADDRESS
450120;450121;HAS_ADDRESS
450125;450126;HAS_ADDRESS
450130;450131;HAS_ADDRESS
450135;450136;HAS_ADDRESS
450140;450141;HAS_ADDRESS
450145;450146;HAS_ADDRESS
450150;450151;HAS_ADDRESS
450155;450156;HAS_ADDRESS
450160;450161;HAS_ADDRESS
450165;450166;HAS_ADDRESS
450170;450171;HAS_ADDRESS
450175;450176;HAS_ADDRESS
450180;450181;HAS_ADDRESS
450185;450186;HAS_ADDRESS
450190;450191;HAS_ADDRESS
450195;450196;HAS_ADDRESS
450200;450201;HAS_ADDRESS
450205;450206;HAS_ADDRESS
450210;450211;HAS_ADDRESS
450215;450216;HAS_ADDRESS
450220;450221;HAS_ADDRESS
450225;450226;HAS_ADDRESS
450230;450231;HAS_ADDRESS
450235;450236;HAS_ADDRESS
450240;450241;HAS_ADDRESS
450245;450246;HAS_ADDRESS
450250;450251;HAS_ADDRESS
450255;450256;HAS_ADDRESS
450260;450261;HAS_ADDRESS
450265;450266;HAS_ADDRESS
450270;450271;HAS_ADDRESS
450275;450276;HAS_ADDRESS
450280;450281;HAS_ADDRESS
450285;450286;HAS_ADDRESS
450290;450291;HAS_ADDRESS
450295;450296;HAS_ADDRESS
450300;450301;HAS_ADDRESS
450305;450306;HAS_ADDRESS
450310;450311;HAS_ADDRESS
450315;450316;HAS_ADDRESS
450320;450321;HAS_ADDRESS
450325;450326;HAS_ADDRESS
450330;450331;HAS_ADDRESS
450335;450336;HAS_ADDRESS
450340;450341;HAS_ADDRESS
450345;450346;HAS_ADDRESS
450350;450351;HAS_ADDRESS
