:START_ID;:END_ID;:TYPE
352201;352200;CHECKS
352204;352203;CHECKS
352207;352206;CHECKS
352210;352209;CHECKS
352213;352212;CHECKS
352216;352215;CHECKS
352219;352218;CHECKS
352222;352221;CHECKS
352225;352224;CHECKS
352228;352227;CHECKS
352231;352230;CHECKS
352234;352233;CHECKS
352237;352236;CHECKS
352240;352239;CHECKS
352243;352242;CHECKS
352246;352245;CHECKS
352249;352248;CHECKS
352252;352251;CHECKS
352255;352254;CHECKS
352258;352257;CHECKS
352261;352260;CHECKS
352264;352263;CHECKS
352267;352266;CHECKS
352270;352269;CHECKS
352273;352272;CHECKS
352276;352275;CHECKS
352279;352278;CHECKS
352282;352281;CHECKS
352285;352284;CHECKS
352288;352287;CHECKS
352291;352290;CHECKS
352294;352293;CHECKS
352297;352296;CHECKS
352300;352299;CHECKS
352303;352302;CHECKS
352306;352305;CHECKS
352309;352308;CHECKS
352312;352311;CHECKS
352315;352314;CHECKS
352318;352317;CHECKS
352321;352320;CHECKS
352324;352323;CHECKS
352327;352326;CHECKS
352330;352329;CHECKS
352333;352332;CHECKS
352336;352335;CHECKS
352339;352338;CHECKS
352342;352341;CHECKS
352345;352344;CHECKS
352348;352347;CHECKS
352351;352350;CHECKS
352354;352353;CHECKS
352357;352356;CHECKS
352360;352359;CHECKS
352363;352362;CHECKS
352366;352365;CHECKS
352369;352368;CHECKS
352372;352371;CHECKS
352375;352374;CHECKS
352378;352377;CHECKS
352381;352380;CHECKS
352384;352383;CHECKS
352387;352386;CHECKS
352390;352389;CHECKS
352393;352392;CHECKS
352396;352395;CHECKS
352399;352398;CHECKS
352402;352401;CHECKS
352405;352404;CHECKS
352408;352407;CHECKS
352411;352410;CHECKS
352414;352413;CHECKS
352417;352416;CHECKS
352420;352419;CHECKS
352423;352422;CHECKS
352426;352425;CHECKS
352429;352428;CHECKS
352432;352431;CHECKS
352435;352434;CHECKS
352438;352437;CHECKS
352441;352440;CHECKS
352444;352443;CHECKS
352447;352446;CHECKS
352450;352449;CHECKS
352453;352452;CHECKS
352456;352455;CHECKS
352459;352458;CHECKS
352462;352461;CHECKS
352465;352464;CHECKS
352468;352467;CHECKS
352471;352470;CHECKS
352474;352473;CHECKS
352477;352476;CHECKS
352480;352479;CHECKS
352483;352482;CHECKS
352486;352485;CHECKS
352489;352488;CHECKS
352492;352491;CHECKS
352495;352494;CHECKS
352498;352497;CHECKS
352501;352500;CHECKS
352504;352503;CHECKS
352507;352506;CHECKS
352510;352509;CHECKS
352513;352512;CHECKS
352516;352515;CHECKS
352519;352518;CHECKS
352522;352521;CHECKS
352525;352524;CHECKS
352528;352527;CHECKS
352531;352530;CHECKS
352534;352533;CHECKS
352537;352536;CHECKS
352540;352539;CHECKS
352543;352542;CHECKS
352546;352545;CHECKS
352549;352548;CHECKS
352552;352551;CHECKS
352555;352554;CHECKS
352558;352557;CHECKS
352561;352560;CHECKS
352564;352563;CHECKS
352567;352566;CHECKS
352570;352569;CHECKS
352573;352572;CHECKS
352576;352575;CHECKS
352579;352578;CHECKS
352582;352581;CHECKS
352585;352584;CHECKS
352588;352587;CHECKS
352591;352590;CHECKS
352594;352593;CHECKS
352597;352596;CHECKS
352600;352599;CHECKS
352603;352602;CHECKS
352606;352605;CHECKS
352609;352608;CHECKS
352612;352611;CHECKS
352615;352614;CHECKS
352618;352617;CHECKS
352621;352620;CHECKS
352624;352623;CHECKS
352627;352626;CHECKS
