:ID;:LABEL;type;open_date;closed_date
774429;Claim;Incidente Auto;2022-05-24T13:45:58.277692;2022-05-29T13:55:40.277692
774432;Claim;Furto in Casa;2022-09-06T13:48:45.278694;2022-09-11T13:58:33.278694
774435;Claim;Incendio doloso Auto;2022-06-17T13:45:22.278694;2022-06-22T13:55:36.278694
774441;Claim;Furto in Casa;2022-11-17T13:46:39.279695;2022-11-22T13:55:53.279695
774444;Claim;Incidente Auto;2022-08-05T13:50:14.279695;2022-08-10T13:58:20.279695
774453;Claim;Incendio doloso Auto;2022-05-30T13:46:00.280694;2022-06-04T13:56:52.280694
774456;Claim;Incendio doloso Auto;2022-10-12T13:46:39.280694;2022-10-17T13:56:50.280694
774468;Claim;Incendio doloso Casa;2022-05-03T13:49:55.282698;2022-05-08T13:56:43.282698
774474;Claim;Furto Auto;2022-12-28T13:49:26.282698;2023-01-02T14:00:06.282698
774477;Claim;Incendio doloso Casa;2022-08-05T13:48:48.282698;2022-08-10T13:55:06.282698
774483;Claim;Furto in Casa;2022-03-31T13:50:30.282698;2022-04-05T14:00:08.282698
774486;Claim;Incidente Auto;2022-04-15T13:47:03.283695;2022-04-20T13:52:10.283695
774498;Claim;Incendio doloso Casa;2022-10-16T13:45:34.283695;2022-10-21T13:52:17.283695
774516;Claim;Incendio doloso Casa;2022-02-27T13:50:30.284696;2022-03-04T14:01:04.284696
774522;Claim;Furto in Casa;2022-08-24T13:47:08.284696;2022-08-29T13:56:45.284696
774525;Claim;Incidente Auto;2022-06-03T13:45:03.284696;2022-06-08T13:50:36.284696
774546;Claim;Incendio doloso Auto;2022-03-08T13:46:43.285692;2022-03-13T13:52:21.285692
774552;Claim;Incendio doloso Auto;2022-10-07T13:47:58.285692;2022-10-12T13:54:07.285692
774561;Claim;Incidente Auto;2022-10-03T13:48:38.287692;2022-10-08T13:55:18.287692
774564;Claim;Incendio doloso Auto;2022-05-11T13:46:23.287692;2022-05-16T13:55:46.287692
774573;Claim;Furto in Casa;2022-11-25T13:48:58.287692;2022-11-30T13:59:01.287692
774579;Claim;Incendio doloso Auto;2022-06-28T13:46:42.287692;2022-07-03T13:55:57.287692
774585;Claim;Incendio doloso Casa;2022-03-18T13:46:14.287692;2022-03-23T13:53:41.287692
774597;Claim;Furto Auto;2022-05-08T13:49:47.304691;2022-05-13T13:56:09.304691
774600;Claim;Incidente Auto;2022-09-05T13:46:54.304691;2022-09-10T13:52:50.304691
774612;Claim;Incendio doloso Casa;2022-06-20T13:44:54.304691;2022-06-25T13:52:18.304691
774624;Claim;Furto Auto;2023-01-05T13:44:57.304691;2023-01-10T13:53:49.304691
774627;Claim;Incidente Auto;2022-05-30T13:46:00.304691;2022-06-04T13:56:31.304691
774633;Claim;Furto in Casa;2022-07-18T13:44:52.305695;2022-07-23T13:51:49.305695
774642;Claim;Furto Auto;2022-10-30T13:49:57.305695;2022-11-04T13:58:46.305695
774645;Claim;Incendio doloso Casa;2022-07-04T13:45:56.305695;2022-07-09T13:54:33.305695
774654;Claim;Furto Auto;2022-10-04T13:47:09.305695;2022-10-09T13:55:33.305695
774657;Claim;Furto Auto;2022-05-05T13:50:44.305695;2022-05-10T13:59:53.305695
774663;Claim;Incendio doloso Casa;2022-06-25T13:49:00.305695;2022-06-30T13:55:35.305695
774669;Claim;Furto Auto;2022-02-28T13:49:26.305695;2022-03-05T13:56:47.305695
774675;Claim;Furto Auto;2022-11-11T13:46:39.305695;2022-11-16T13:57:24.305695
774678;Claim;Incendio doloso Casa;2022-10-10T13:45:52.305695;2022-10-15T13:56:36.305695
774687;Claim;Incendio doloso Casa;2022-04-10T13:45:26.305695;2022-04-15T13:52:28.305695
774693;Claim;Furto in Casa;2022-07-19T13:45:25.305695;2022-07-24T13:50:31.305695
774699;Claim;Incendio doloso Auto;2022-04-05T13:48:44.306693;2022-04-10T13:57:27.306693
