:ID;:LABEL;type;open_date:datetime
895750;Claim;Incidente Auto;2022-12-25T15:32:42.442626
895753;Claim;Furto Auto;2022-03-12T15:32:18.443626
895756;Claim;Incendio doloso Auto;2022-10-21T15:35:00.444624
895759;Claim;Incendio doloso Auto;2022-10-07T15:30:13.444624
895765;Claim;Furto Auto;2022-07-25T15:34:16.446623
895774;Claim;Incidente Auto;2022-08-09T15:34:12.446623
895783;Claim;Incidente Auto;2022-03-05T15:34:35.447626
895786;Claim;Furto in Casa;2022-02-16T15:29:30.447626
895792;Claim;Furto in Casa;2022-03-03T15:32:55.449009
895795;Claim;Incidente Auto;2022-06-07T15:32:52.450004
895798;Claim;Incendio doloso Casa;2022-09-30T15:32:10.450004
895801;Claim;Furto in Casa;2022-05-14T15:33:01.450004
895807;Claim;Furto Auto;2022-06-29T15:33:23.450004
895813;Claim;Furto in Casa;2022-08-24T15:34:57.452009
895819;Claim;Furto Auto;2022-02-28T15:32:34.452009
895828;Claim;Incendio doloso Casa;2022-08-13T15:31:05.452009
895837;Claim;Incendio doloso Casa;2022-03-01T15:32:21.454010
895843;Claim;Incendio doloso Casa;2022-03-14T15:34:49.454525
895849;Claim;Incidente Auto;2023-01-19T15:29:52.454525
895852;Claim;Incidente Auto;2022-09-11T15:29:30.454525
895867;Claim;Furto Auto;2022-11-24T15:34:08.456534
895870;Claim;Furto Auto;2022-10-25T15:32:31.456534
895873;Claim;Incidente Auto;2022-05-18T15:33:35.458250
895876;Claim;Incidente Auto;2022-05-10T15:30:51.458250
895879;Claim;Furto in Casa;2022-02-08T15:33:29.458250
895882;Claim;Incendio doloso Auto;2022-02-03T15:35:22.460050
895894;Claim;Incendio doloso Auto;2022-06-23T15:34:58.461049
895912;Claim;Incendio doloso Casa;2022-03-22T15:31:17.471153
895918;Claim;Incendio doloso Auto;2022-05-05T15:32:39.472154
895921;Claim;Incendio doloso Casa;2022-12-10T15:32:33.472154
895924;Claim;Incendio doloso Casa;2022-04-13T15:33:10.472154
895930;Claim;Incendio doloso Auto;2022-09-21T15:33:33.472154
895936;Claim;Furto Auto;2022-05-04T15:33:20.473152
895939;Claim;Furto in Casa;2022-04-03T15:32:09.473152
895942;Claim;Furto Auto;2022-08-08T15:31:12.473152
895951;Claim;Incendio doloso Auto;2022-10-31T15:35:23.473152
895960;Claim;Furto Auto;2022-02-15T15:34:41.474152
895963;Claim;Furto in Casa;2022-11-10T15:32:33.474152
895972;Claim;Furto in Casa;2022-12-06T15:32:41.475152
895975;Claim;Furto in Casa;2022-05-14T15:34:31.475152
895978;Claim;Furto Auto;2022-12-18T15:30:15.475152
895981;Claim;Incendio doloso Casa;2022-09-27T15:34:33.475152
895984;Claim;Incidente Auto;2022-12-24T15:33:47.476152
895987;Claim;Furto Auto;2022-02-19T15:33:33.476152
895993;Claim;Incendio doloso Casa;2022-10-23T15:34:40.476152
895999;Claim;Incidente Auto;2023-01-23T15:32:55.476152
896002;Claim;Furto Auto;2022-03-26T15:35:15.476152
896005;Claim;Incidente Auto;2023-01-09T15:34:22.476152
896008;Claim;Furto in Casa;2022-08-25T15:34:56.476152
