:ID;:LABEL;type;open_date:datetime;closed_date:datetime
895756;Claim;Furto Auto;2023-01-16T18:49:04.248226;2023-01-21T18:55:50.248226
895759;Claim;Incendio doloso Casa;2022-12-19T18:51:26.248226;2022-12-24T18:57:24.248226
895765;Claim;Incendio doloso Auto;2022-11-03T18:52:40.249235;2022-11-08T19:00:12.249235
895768;Claim;Incidente Auto;2022-08-09T18:52:27.249235;2022-08-14T18:58:57.249235
895774;Claim;Incendio doloso Casa;2022-06-18T18:50:06.249235;2022-06-23T18:58:37.249235
895789;Claim;Incendio doloso Auto;2022-03-11T18:49:19.250233;2022-03-16T18:54:54.250233
895792;Claim;Incendio doloso Auto;2022-05-28T18:51:05.251235;2022-06-02T18:59:45.251235
895795;Claim;Furto Auto;2022-03-13T18:51:54.251235;2022-03-18T19:00:35.251235
895798;Claim;Furto in Casa;2022-11-25T18:50:16.251235;2022-11-30T18:57:29.251235
895804;Claim;Furto Auto;2022-08-20T18:50:34.251235;2022-08-25T18:56:10.251235
895813;Claim;Furto Auto;2022-08-15T18:47:00.252234;2022-08-20T18:56:34.252234
895822;Claim;Furto Auto;2022-07-07T18:50:58.252234;2022-07-12T18:57:56.252234
895825;Claim;Furto in Casa;2022-06-28T18:52:52.252234;2022-07-03T18:59:10.252234
895828;Claim;Incidente Auto;2022-02-19T18:49:56.252234;2022-02-24T18:55:11.252234
895831;Claim;Incendio doloso Casa;2022-06-17T18:52:23.253232;2022-06-22T18:57:48.253232
895834;Claim;Incidente Auto;2022-09-19T18:50:56.253232;2022-09-24T18:57:43.253232
895837;Claim;Furto Auto;2023-01-14T18:47:41.253232;2023-01-19T18:57:04.253232
895846;Claim;Furto Auto;2022-12-10T18:49:36.254233;2022-12-15T18:56:09.254233
895852;Claim;Furto Auto;2022-02-11T18:48:08.254233;2022-02-16T18:55:02.254233
895855;Claim;Incidente Auto;2022-10-29T18:52:28.255232;2022-11-03T19:00:44.255232
895858;Claim;Incendio doloso Auto;2022-07-09T18:52:19.255232;2022-07-14T18:59:15.255232
895867;Claim;Incidente Auto;2022-09-15T18:52:28.255232;2022-09-20T18:58:09.255232
895870;Claim;Incendio doloso Auto;2022-11-25T18:51:18.255232;2022-11-30T18:58:16.255232
895873;Claim;Furto Auto;2022-08-08T18:47:38.255232;2022-08-13T18:57:05.255232
895879;Claim;Incendio doloso Casa;2022-09-05T18:48:29.255232;2022-09-10T18:53:33.255232
895885;Claim;Furto Auto;2022-05-19T18:51:30.256232;2022-05-24T19:01:18.256232
895903;Claim;Furto Auto;2022-02-21T18:50:45.256232;2022-02-26T19:00:32.256232
895906;Claim;Incendio doloso Casa;2022-12-11T18:51:51.256232;2022-12-16T18:57:06.256232
895912;Claim;Incidente Auto;2022-02-28T18:49:35.262750;2022-03-05T18:59:55.262750
895921;Claim;Incendio doloso Casa;2022-11-19T18:49:25.262750;2022-11-24T18:59:27.262750
895930;Claim;Furto in Casa;2022-04-18T18:49:00.262750;2022-04-23T18:55:43.262750
895933;Claim;Furto Auto;2022-07-12T18:48:18.263750;2022-07-17T18:56:19.263750
895939;Claim;Furto Auto;2023-01-01T18:49:25.263750;2023-01-06T18:59:59.263750
895942;Claim;Incendio doloso Casa;2022-10-30T18:50:34.263750;2022-11-04T18:56:20.263750
895948;Claim;Incendio doloso Auto;2022-06-16T18:51:27.263750;2022-06-21T19:02:21.263750
895951;Claim;Furto in Casa;2022-06-10T18:47:54.263750;2022-06-15T18:58:09.263750
895957;Claim;Incendio doloso Casa;2022-02-09T18:47:53.263750;2022-02-14T18:57:20.263750
895960;Claim;Incendio doloso Casa;2023-01-22T18:47:20.263750;2023-01-27T18:55:38.263750
895963;Claim;Incidente Auto;2022-04-29T18:52:02.263750;2022-05-04T19:00:27.263750
895966;Claim;Incendio doloso Auto;2022-05-25T18:50:47.263750;2022-05-30T18:57:33.263750
895969;Claim;Incendio doloso Casa;2022-03-22T18:52:17.263750;2022-03-27T18:58:58.263750
895972;Claim;Furto Auto;2022-05-23T18:50:12.263750;2022-05-28T19:00:20.263750
895975;Claim;Incidente Auto;2022-03-06T18:49:30.264749;2022-03-11T19:00:02.264749
895978;Claim;Furto in Casa;2022-11-02T18:52:56.264749;2022-11-07T18:58:53.264749
895981;Claim;Incendio doloso Casa;2022-07-15T18:48:00.264749;2022-07-20T18:57:59.264749
895984;Claim;Furto Auto;2022-08-19T18:50:39.264749;2022-08-24T18:57:47.264749
895987;Claim;Incidente Auto;2022-06-04T18:52:52.264749;2022-06-09T19:00:38.264749
895990;Claim;Incidente Auto;2022-06-06T18:50:14.264749;2022-06-11T18:59:15.264749
895993;Claim;Furto Auto;2022-08-25T18:48:19.264749;2022-08-30T18:56:23.264749
895996;Claim;Incendio doloso Casa;2022-07-27T18:47:04.264749;2022-08-01T18:55:42.264749
896011;Claim;Incendio doloso Casa;2022-02-11T18:47:32.265753;2022-02-16T18:53:17.265753
896014;Claim;Incendio doloso Auto;2022-08-02T18:50:12.265753;2022-08-07T18:56:59.265753
896020;Claim;Furto in Casa;2022-07-15T18:49:28.265753;2022-07-20T19:00:02.265753
896023;Claim;Incendio doloso Casa;2022-03-01T18:48:30.265753;2022-03-06T18:54:54.265753
896032;Claim;Furto in Casa;2022-08-06T18:51:56.265753;2022-08-11T19:02:55.265753
896035;Claim;Incendio doloso Casa;2022-06-07T18:48:38.265753;2022-06-12T18:57:07.265753
896038;Claim;Incendio doloso Casa;2022-06-22T18:51:06.265753;2022-06-27T18:59:01.265753
896041;Claim;Furto Auto;2022-02-22T18:49:08.265753;2022-02-27T18:59:20.265753
896050;Claim;Incendio doloso Auto;2022-04-02T18:52:13.266751;2022-04-07T19:02:47.266751
896056;Claim;Furto in Casa;2022-02-08T18:52:43.266751;2022-02-13T18:58:49.266751
896059;Claim;Incidente Auto;2022-05-24T18:48:35.266751;2022-05-29T18:56:14.266751
896065;Claim;Furto Auto;2022-11-14T18:50:19.266751;2022-11-19T19:00:11.266751
896077;Claim;Furto in Casa;2022-12-09T18:49:44.266751;2022-12-14T18:57:39.266751
896080;Claim;Furto in Casa;2022-09-02T18:49:46.266751;2022-09-07T18:57:19.266751
896083;Claim;Furto in Casa;2022-04-02T18:47:58.266751;2022-04-07T18:56:41.266751
896089;Claim;Furto in Casa;2022-12-26T18:47:42.267750;2022-12-31T18:57:36.267750
896098;Claim;Incendio doloso Casa;2022-12-04T18:52:01.267750;2022-12-09T19:01:12.267750
896101;Claim;Incendio doloso Auto;2022-10-28T18:52:04.267750;2022-11-02T19:02:49.267750
896110;Claim;Incendio doloso Auto;2022-07-18T18:49:33.267750;2022-07-23T18:57:20.267750
896125;Claim;Incendio doloso Casa;2022-08-15T18:49:30.268881;2022-08-20T18:58:53.268881
896128;Claim;Furto in Casa;2022-03-10T18:50:36.268881;2022-03-15T18:57:02.268881
896143;Claim;Incendio doloso Auto;2022-02-28T18:48:40.268881;2022-03-05T18:56:35.268881
