:ID;:LABEL;type;open_date
53304;Claim;Incidente Auto;2022-03-30T13:38:20.573907
53307;Claim;Incendio doloso Casa;2022-07-28T13:36:59.573907
53310;Claim;Incidente Auto;2022-07-04T13:36:30.574909
53313;Claim;Incendio doloso Auto;2022-11-30T13:39:13.574909
53319;Claim;Incidente Auto;2022-05-28T13:40:04.575907
53322;Claim;Incendio doloso Auto;2023-01-21T13:39:19.575907
53334;Claim;Furto in Casa;2022-05-16T13:37:12.576908
53337;Claim;Incendio doloso Casa;2022-03-08T13:38:19.576908
53346;Claim;Furto Auto;2022-05-02T13:39:29.577909
53349;Claim;Incidente Auto;2022-11-11T13:37:43.577909
53364;Claim;Furto Auto;2022-12-06T13:39:58.578910
53376;Claim;Incendio doloso Auto;2022-08-24T13:41:05.579908
53397;Claim;Incendio doloso Auto;2022-07-30T13:35:42.580907
53409;Claim;Incidente Auto;2022-10-14T13:38:00.581907
53415;Claim;Incidente Auto;2022-12-13T13:36:30.581907
53430;Claim;Incendio doloso Casa;2022-09-09T13:40:53.581907
53433;Claim;Incendio doloso Auto;2022-02-07T13:39:12.582908
53439;Claim;Incendio doloso Auto;2022-10-13T13:37:30.583910
53445;Claim;Furto in Casa;2022-02-27T13:36:49.583910
53448;Claim;Furto Auto;2022-02-16T13:40:39.583910
53451;Claim;Furto Auto;2023-01-20T13:38:50.583910
53454;Claim;Incendio doloso Auto;2022-09-01T13:35:51.583910
53457;Claim;Incendio doloso Auto;2022-10-13T13:39:54.583910
53460;Claim;Furto in Casa;2022-05-07T13:41:08.583910
53463;Claim;Furto Auto;2022-11-18T13:38:49.593907
53469;Claim;Incidente Auto;2023-01-04T13:40:59.593907
53472;Claim;Incidente Auto;2022-12-29T13:40:55.593907
53487;Claim;Incendio doloso Auto;2022-12-14T13:38:04.593907
53490;Claim;Furto Auto;2022-07-25T13:37:50.593907
53496;Claim;Incendio doloso Casa;2022-10-25T13:41:05.593907
53502;Claim;Furto Auto;2022-11-07T13:37:12.593907
53517;Claim;Furto in Casa;2022-07-04T13:39:29.593907
53523;Claim;Furto Auto;2022-09-23T13:39:13.593907
