closed_date;type;open_date;:LABEL;:ID
;Furto in Casa;2022-04-29T00:42:11.282155;Claim;948875
2022-03-09T00:55:55.282232;Furto in Casa;2022-03-04T00:47:41.282232;Claim;948878
;Incendio doloso Casa;2022-02-04T00:45:57.283033;Claim;948881
;Furto Auto;2022-11-02T00:45:11.283120;Claim;948884
2022-03-27T00:50:14.283161;Incendio doloso Auto;2022-03-22T00:42:41.283161;Claim;948887
;Incidente Auto;2022-07-27T00:43:55.284263;Claim;948890
;Furto Auto;2022-08-04T00:44:09.284333;Claim;948893
2022-09-04T00:49:44.284381;Furto in Casa;2022-08-30T00:41:59.284381;Claim;948896
2022-02-18T00:53:59.284425;Incidente Auto;2022-02-13T00:44:38.284425;Claim;948899
2022-11-03T00:51:26.285502;Incendio doloso Auto;2022-10-29T00:44:35.285502;Claim;948902
;Incendio doloso Auto;2022-09-27T00:45:47.285564;Claim;948905
;Furto Auto;2022-10-17T00:46:09.285610;Claim;948908
2023-01-16T00:52:26.285651;Furto in Casa;2023-01-11T00:47:08.285651;Claim;948911
;Furto Auto;2022-04-21T00:44:54.285691;Claim;948914
2022-02-27T00:57:16.287139;Furto Auto;2022-02-22T00:47:24.287139;Claim;948917
;Furto Auto;2022-03-08T00:47:12.287211;Claim;948920
;Furto in Casa;2022-10-13T00:43:26.287252;Claim;948923
2022-08-31T00:47:58.287291;Furto Auto;2022-08-26T00:42:39.287291;Claim;948926
2022-12-31T00:56:51.287330;Furto in Casa;2022-12-26T00:45:58.287330;Claim;948929
2022-05-19T00:51:47.287368;Furto in Casa;2022-05-14T00:45:48.287368;Claim;948932
;Incendio doloso Auto;2022-09-14T00:44:11.288786;Claim;948935
;Incendio doloso Casa;2022-04-09T00:42:29.288840;Claim;948938
2022-07-04T00:53:27.288881;Furto Auto;2022-06-29T00:45:16.288881;Claim;948941
2022-07-15T00:55:32.288919;Furto Auto;2022-07-10T00:47:24.288919;Claim;948944
2022-03-01T00:55:35.288955;Incidente Auto;2022-02-24T00:47:49.288955;Claim;948947
;Incendio doloso Auto;2022-09-19T00:47:05.288991;Claim;948950
2022-04-29T00:52:41.289029;Incendio doloso Casa;2022-04-24T00:44:33.289029;Claim;948953
;Incendio doloso Auto;2022-04-13T00:46:15.290350;Claim;948956
2022-03-04T00:55:40.290432;Furto Auto;2022-02-27T00:46:19.290432;Claim;948959
2022-12-24T00:48:21.290473;Incidente Auto;2022-12-19T00:42:43.290473;Claim;948962
2022-10-27T00:50:09.290508;Furto in Casa;2022-10-22T00:43:12.290508;Claim;948965
2023-01-24T00:51:26.290546;Furto Auto;2023-01-19T00:44:31.290546;Claim;948968
;Incendio doloso Auto;2022-05-20T00:43:20.290582;Claim;948971
2022-07-15T00:48:49.290618;Incendio doloso Casa;2022-07-10T00:43:43.290618;Claim;948974
2022-08-29T00:49:12.290654;Furto in Casa;2022-08-24T00:43:23.290654;Claim;948977
;Incendio doloso Auto;2022-11-02T00:46:53.291938;Claim;948980
;Incendio doloso Auto;2023-01-09T00:44:43.292003;Claim;948983
;Incendio doloso Auto;2022-09-13T00:43:34.292042;Claim;948986
