:ID;:LABEL;type;open_date:datetime
761628;Claim;Furto in Casa;2022-09-23T19:29:21.125982
761637;Claim;Furto Auto;2023-01-18T19:27:41.126985
761649;Claim;Incendio doloso Casa;2022-05-31T19:28:54.128054
761652;Claim;Incendio doloso Casa;2022-06-23T19:32:07.129054
761655;Claim;Incidente Auto;2022-04-16T19:31:32.129054
761658;Claim;Furto in Casa;2023-01-22T19:30:50.129054
761670;Claim;Incendio doloso Casa;2022-06-12T19:26:54.131052
761679;Claim;Furto in Casa;2022-04-18T19:31:18.131052
761685;Claim;Incendio doloso Auto;2022-06-04T19:27:40.132052
761688;Claim;Incidente Auto;2022-04-09T19:28:49.132052
761691;Claim;Incendio doloso Auto;2022-05-07T19:27:46.132052
761694;Claim;Incendio doloso Auto;2022-07-11T19:31:18.132052
761700;Claim;Furto Auto;2022-07-11T19:30:05.132052
761703;Claim;Furto Auto;2022-06-08T19:26:48.132052
761706;Claim;Incendio doloso Auto;2022-07-15T19:27:33.133559
761709;Claim;Furto in Casa;2022-03-08T19:28:25.133559
761715;Claim;Incendio doloso Casa;2023-01-12T19:30:03.134569
761721;Claim;Furto in Casa;2022-11-29T19:31:49.134569
761724;Claim;Furto Auto;2022-06-25T19:29:08.134569
761727;Claim;Incidente Auto;2022-03-08T19:26:37.134569
761730;Claim;Furto Auto;2022-12-17T19:28:00.135566
761739;Claim;Furto Auto;2022-10-11T19:31:00.135566
761751;Claim;Furto Auto;2023-01-11T19:27:44.135566
761754;Claim;Furto Auto;2023-01-12T19:29:03.135566
761760;Claim;Incidente Auto;2022-03-31T19:30:03.137565
761778;Claim;Incendio doloso Auto;2022-09-22T19:30:36.137565
761784;Claim;Incidente Auto;2022-12-24T19:28:30.138566
761790;Claim;Incendio doloso Auto;2022-06-01T19:27:51.148081
761796;Claim;Incendio doloso Auto;2022-10-15T19:29:48.148081
761799;Claim;Furto Auto;2022-05-16T19:27:28.148081
761802;Claim;Incendio doloso Auto;2022-07-15T19:32:11.148081
761811;Claim;Furto Auto;2022-09-01T19:28:36.148081
761829;Claim;Incidente Auto;2022-06-29T19:28:27.148081
761832;Claim;Incendio doloso Casa;2022-08-26T19:27:22.148081
761838;Claim;Incendio doloso Auto;2022-02-02T19:30:05.148081
761844;Claim;Incendio doloso Casa;2022-07-14T19:28:52.148081
761847;Claim;Incendio doloso Casa;2022-09-03T19:26:35.149080
761850;Claim;Furto Auto;2022-07-29T19:27:41.149080
761859;Claim;Furto Auto;2023-01-18T19:31:19.149080
761865;Claim;Furto Auto;2022-11-27T19:27:14.149080
761868;Claim;Furto in Casa;2022-04-26T19:27:59.149080
761871;Claim;Furto in Casa;2022-04-28T19:30:12.149080
761877;Claim;Incendio doloso Casa;2022-08-17T19:29:08.149080
761880;Claim;Furto in Casa;2022-05-18T19:28:52.149080
761904;Claim;Furto in Casa;2023-01-02T19:31:16.149080
761913;Claim;Incendio doloso Auto;2022-09-13T19:27:24.149080
761922;Claim;Incendio doloso Auto;2022-05-12T19:31:40.149080
761931;Claim;Incidente Auto;2022-02-25T19:26:58.149080
761934;Claim;Incidente Auto;2022-09-26T19:32:15.149080
761946;Claim;Incendio doloso Auto;2022-03-17T19:27:03.149080
761952;Claim;Incidente Auto;2022-08-21T19:30:17.150587
761955;Claim;Incidente Auto;2022-09-29T19:32:13.150587
761958;Claim;Incendio doloso Auto;2022-05-12T19:27:21.150587
