:ID;:LABEL;type;open_date
440426;Claim;Incendio doloso Casa;2022-11-10T13:41:25.721775
440438;Claim;Furto in Casa;2022-02-06T13:40:13.722775
440450;Claim;Furto Auto;2022-07-18T13:45:46.723779
440453;Claim;Furto Auto;2022-03-25T13:43:46.724776
440456;Claim;Furto in Casa;2022-09-19T13:41:35.724776
440459;Claim;Incendio doloso Casa;2022-07-07T13:42:14.724776
440462;Claim;Furto Auto;2022-11-09T13:43:15.724776
440465;Claim;Incidente Auto;2022-04-01T13:41:14.724776
440468;Claim;Incidente Auto;2022-01-30T13:44:36.725775
440471;Claim;Incendio doloso Casa;2022-06-02T13:42:20.725775
440474;Claim;Incidente Auto;2022-07-04T13:43:04.725775
440477;Claim;Furto in Casa;2022-12-05T13:40:17.725775
440480;Claim;Incendio doloso Auto;2022-10-05T13:42:20.726776
440483;Claim;Incendio doloso Auto;2022-05-21T13:40:48.726776
440498;Claim;Incendio doloso Casa;2022-09-23T13:44:48.727775
440504;Claim;Incendio doloso Casa;2022-05-10T13:41:36.727775
440507;Claim;Furto Auto;2023-01-22T13:41:52.728777
440510;Claim;Incendio doloso Auto;2022-05-20T13:41:43.728777
440519;Claim;Incendio doloso Casa;2022-01-30T13:44:58.728777
440522;Claim;Incendio doloso Auto;2022-10-27T13:42:22.728777
440525;Claim;Furto Auto;2022-08-31T13:45:14.728777
440528;Claim;Furto Auto;2022-02-21T13:43:41.728777
440531;Claim;Incendio doloso Auto;2023-01-23T13:45:34.729776
440540;Claim;Incidente Auto;2022-01-25T13:43:58.729776
440543;Claim;Incidente Auto;2022-06-17T13:45:16.730776
440546;Claim;Furto in Casa;2022-12-03T13:42:26.730776
440549;Claim;Incidente Auto;2023-01-13T13:42:47.730776
440552;Claim;Incendio doloso Casa;2022-07-04T13:45:38.730776
440564;Claim;Incidente Auto;2022-03-30T13:43:46.731777
440567;Claim;Incidente Auto;2022-04-09T13:44:55.731777
440570;Claim;Furto Auto;2022-06-07T13:45:10.731777
440573;Claim;Incendio doloso Auto;2022-02-13T13:41:15.731777
440582;Claim;Incidente Auto;2022-05-06T13:44:03.731777
440600;Claim;Furto in Casa;2022-12-22T13:41:32.748779
440603;Claim;Furto Auto;2022-10-21T13:43:45.748779
440606;Claim;Furto in Casa;2022-08-07T13:41:53.748779
440618;Claim;Incendio doloso Auto;2022-12-16T13:41:32.748779
440621;Claim;Incendio doloso Auto;2023-01-23T13:43:22.748779
440636;Claim;Furto Auto;2022-09-02T13:40:08.749780
440642;Claim;Furto Auto;2022-09-09T13:43:42.749780
440648;Claim;Incendio doloso Casa;2022-09-27T13:41:27.749780
440651;Claim;Incidente Auto;2022-02-16T13:40:19.749780
440654;Claim;Incendio doloso Casa;2022-06-26T13:40:16.749780
440663;Claim;Incendio doloso Casa;2022-07-24T13:40:59.749780
440675;Claim;Furto Auto;2022-11-19T13:44:20.749780
440678;Claim;Incidente Auto;2022-06-23T13:42:40.749780
440684;Claim;Furto in Casa;2022-05-13T13:41:03.749780
440708;Claim;Furto Auto;2022-08-16T13:40:55.750779
440714;Claim;Incidente Auto;2022-07-01T13:45:13.750779
440723;Claim;Furto Auto;2022-01-31T13:42:36.750779
440729;Claim;Incidente Auto;2022-07-26T13:44:19.750779
440735;Claim;Furto in Casa;2022-11-22T13:41:23.750779
440738;Claim;Incidente Auto;2022-09-28T13:40:24.750779
440744;Claim;Furto Auto;2022-01-31T13:42:13.750779
440753;Claim;Furto in Casa;2022-02-23T13:44:17.750779
440762;Claim;Furto Auto;2022-01-31T13:44:19.750779
440765;Claim;Incendio doloso Casa;2022-04-10T13:43:18.750779
440774;Claim;Incidente Auto;2022-02-16T13:41:02.751779
440783;Claim;Furto Auto;2022-09-30T13:43:14.751779
440786;Claim;Furto in Casa;2022-06-18T13:40:08.751779
440789;Claim;Incendio doloso Auto;2022-08-05T13:42:53.751779
440798;Claim;Incendio doloso Casa;2022-06-19T13:43:19.751779
440804;Claim;Incendio doloso Auto;2022-01-25T13:43:25.751779
440807;Claim;Incendio doloso Auto;2022-12-10T13:44:52.751779
440813;Claim;Incendio doloso Casa;2022-09-09T13:42:09.751779
440819;Claim;Incendio doloso Casa;2023-01-15T13:40:19.751779
440825;Claim;Furto in Casa;2022-08-25T13:44:26.751779
