:START_ID;:END_ID;:TYPE
1189252;1189250;DEALS_WITH
1189255;1189253;DEALS_WITH
1189258;1189256;DEALS_WITH
1189261;1189259;DEALS_WITH
1189264;1189262;DEALS_WITH
1189267;1189265;DEALS_WITH
1189270;1189268;DEALS_WITH
1189273;1189271;DEALS_WITH
1189276;1189274;DEALS_WITH
1189279;1189277;DEALS_WITH
1189282;1189280;DEALS_WITH
1189285;1189283;DEALS_WITH
1189288;1189286;DEALS_WITH
1189291;1189289;DEALS_WITH
1189294;1189292;DEALS_WITH
1189297;1189295;DEALS_WITH
1189300;1189298;DEALS_WITH
1189303;1189301;DEALS_WITH
1189306;1189304;DEALS_WITH
1189309;1189307;DEALS_WITH
1189312;1189310;DEALS_WITH
1189315;1189313;DEALS_WITH
1189318;1189316;DEALS_WITH
1189321;1189319;DEALS_WITH
1189324;1189322;DEALS_WITH
1189327;1189325;DEALS_WITH
1189330;1189328;DEALS_WITH
1189333;1189331;DEALS_WITH
1189336;1189334;DEALS_WITH
1189339;1189337;DEALS_WITH
1189342;1189340;DEALS_WITH
1189345;1189343;DEALS_WITH
1189348;1189346;DEALS_WITH
1189351;1189349;DEALS_WITH
1189354;1189352;DEALS_WITH
1189357;1189355;DEALS_WITH
1189360;1189358;DEALS_WITH
1189363;1189361;DEALS_WITH
1189366;1189364;DEALS_WITH
1189369;1189367;DEALS_WITH
1189372;1189370;DEALS_WITH
1189375;1189373;DEALS_WITH
1189378;1189376;DEALS_WITH
1189381;1189379;DEALS_WITH
1189384;1189382;DEALS_WITH
1189387;1189385;DEALS_WITH
1189390;1189388;DEALS_WITH
1189393;1189391;DEALS_WITH
1189396;1189394;DEALS_WITH
1189399;1189397;DEALS_WITH
1189402;1189400;DEALS_WITH
1189405;1189403;DEALS_WITH
1189408;1189406;DEALS_WITH
1189411;1189409;DEALS_WITH
1189414;1189412;DEALS_WITH
1189417;1189415;DEALS_WITH
1189420;1189418;DEALS_WITH
1189423;1189421;DEALS_WITH
1189426;1189424;DEALS_WITH
1189429;1189427;DEALS_WITH
1189432;1189430;DEALS_WITH
1189435;1189433;DEALS_WITH
1189438;1189436;DEALS_WITH
1189441;1189439;DEALS_WITH
1189444;1189442;DEALS_WITH
1189447;1189445;DEALS_WITH
1189450;1189448;DEALS_WITH
1189453;1189451;DEALS_WITH
1189456;1189454;DEALS_WITH
1189459;1189457;DEALS_WITH
1189462;1189460;DEALS_WITH
1189465;1189463;DEALS_WITH
1189468;1189466;DEALS_WITH
1189471;1189469;DEALS_WITH
1189474;1189472;DEALS_WITH
1189477;1189475;DEALS_WITH
1189480;1189478;DEALS_WITH
1189483;1189481;DEALS_WITH
1189486;1189484;DEALS_WITH
1189489;1189487;DEALS_WITH
1189492;1189490;DEALS_WITH
1189495;1189493;DEALS_WITH
1189498;1189496;DEALS_WITH
1189501;1189499;DEALS_WITH
1189504;1189502;DEALS_WITH
1189507;1189505;DEALS_WITH
1189510;1189508;DEALS_WITH
1189513;1189511;DEALS_WITH
1189516;1189514;DEALS_WITH
1189519;1189517;DEALS_WITH
1189522;1189520;DEALS_WITH
1189525;1189523;DEALS_WITH
1189528;1189526;DEALS_WITH
1189531;1189529;DEALS_WITH
1189534;1189532;DEALS_WITH
1189537;1189535;DEALS_WITH
1189540;1189538;DEALS_WITH
1189543;1189541;DEALS_WITH
1189546;1189544;DEALS_WITH
1189549;1189547;DEALS_WITH
1189552;1189550;DEALS_WITH
1189555;1189553;DEALS_WITH
1189558;1189556;DEALS_WITH
1189561;1189559;DEALS_WITH
1189564;1189562;DEALS_WITH
1189567;1189565;DEALS_WITH
1189570;1189568;DEALS_WITH
1189573;1189571;DEALS_WITH
1189576;1189574;DEALS_WITH
1189579;1189577;DEALS_WITH
1189582;1189580;DEALS_WITH
1189585;1189583;DEALS_WITH
1189588;1189586;DEALS_WITH
1189591;1189589;DEALS_WITH
1189594;1189592;DEALS_WITH
1189597;1189595;DEALS_WITH
1189600;1189598;DEALS_WITH
1189603;1189601;DEALS_WITH
1189606;1189604;DEALS_WITH
1189609;1189607;DEALS_WITH
1189612;1189610;DEALS_WITH
1189615;1189613;DEALS_WITH
1189618;1189616;DEALS_WITH
1189621;1189619;DEALS_WITH
1189624;1189622;DEALS_WITH
1189627;1189625;DEALS_WITH
1189630;1189628;DEALS_WITH
1189633;1189631;DEALS_WITH
1189636;1189634;DEALS_WITH
1189639;1189637;DEALS_WITH
1189642;1189640;DEALS_WITH
1189645;1189643;DEALS_WITH
1189648;1189646;DEALS_WITH
1189651;1189649;DEALS_WITH
1189654;1189652;DEALS_WITH
1189657;1189655;DEALS_WITH
1189660;1189658;DEALS_WITH
1189663;1189661;DEALS_WITH
1189666;1189664;DEALS_WITH
1189669;1189667;DEALS_WITH
1189672;1189670;DEALS_WITH
1189675;1189673;DEALS_WITH
1189678;1189676;DEALS_WITH
1189681;1189679;DEALS_WITH
1189684;1189682;DEALS_WITH
1189687;1189685;DEALS_WITH
1189690;1189688;DEALS_WITH
1189693;1189691;DEALS_WITH
1189696;1189694;DEALS_WITH
1189699;1189697;DEALS_WITH
1189702;1189700;DEALS_WITH
1189705;1189703;DEALS_WITH
1189708;1189706;DEALS_WITH
1189711;1189709;DEALS_WITH
1189714;1189712;DEALS_WITH
1189717;1189715;DEALS_WITH
1189720;1189718;DEALS_WITH
1189723;1189721;DEALS_WITH
1189726;1189724;DEALS_WITH
1189729;1189727;DEALS_WITH
1189732;1189730;DEALS_WITH
1189735;1189733;DEALS_WITH
1189738;1189736;DEALS_WITH
1189741;1189739;DEALS_WITH
1189744;1189742;DEALS_WITH
1189747;1189745;DEALS_WITH
1189750;1189748;DEALS_WITH
1189753;1189751;DEALS_WITH
1189756;1189754;DEALS_WITH
1189759;1189757;DEALS_WITH
1189762;1189760;DEALS_WITH
1189765;1189763;DEALS_WITH
1189768;1189766;DEALS_WITH
1189771;1189769;DEALS_WITH
1189774;1189772;DEALS_WITH
1189777;1189775;DEALS_WITH
1189780;1189778;DEALS_WITH
1189783;1189781;DEALS_WITH
1189786;1189784;DEALS_WITH
1189789;1189787;DEALS_WITH
1189792;1189790;DEALS_WITH
1189795;1189793;DEALS_WITH
1189798;1189796;DEALS_WITH
1189801;1189799;DEALS_WITH
1189804;1189802;DEALS_WITH
1189807;1189805;DEALS_WITH
1189810;1189808;DEALS_WITH
1189813;1189811;DEALS_WITH
1189816;1189814;DEALS_WITH
1189819;1189817;DEALS_WITH
1189822;1189820;DEALS_WITH
1189825;1189823;DEALS_WITH
1189828;1189826;DEALS_WITH
1189831;1189829;DEALS_WITH
1189834;1189832;DEALS_WITH
1189837;1189835;DEALS_WITH
1189840;1189838;DEALS_WITH
1189843;1189841;DEALS_WITH
1189846;1189844;DEALS_WITH
1189849;1189847;DEALS_WITH
1189852;1189850;DEALS_WITH
1189855;1189853;DEALS_WITH
1189858;1189856;DEALS_WITH
1189861;1189859;DEALS_WITH
1189864;1189862;DEALS_WITH
1189867;1189865;DEALS_WITH
1189870;1189868;DEALS_WITH
1189873;1189871;DEALS_WITH
1189876;1189874;DEALS_WITH
1189879;1189877;DEALS_WITH
1189882;1189880;DEALS_WITH
1189885;1189883;DEALS_WITH
1189888;1189886;DEALS_WITH
1189891;1189889;DEALS_WITH
1189894;1189892;DEALS_WITH
1189897;1189895;DEALS_WITH
1189900;1189898;DEALS_WITH
1189903;1189901;DEALS_WITH
1189906;1189904;DEALS_WITH
1189909;1189907;DEALS_WITH
1189912;1189910;DEALS_WITH
1189915;1189913;DEALS_WITH
1189918;1189916;DEALS_WITH
1189921;1189919;DEALS_WITH
1189924;1189922;DEALS_WITH
1189927;1189925;DEALS_WITH
1189930;1189928;DEALS_WITH
1189933;1189931;DEALS_WITH
1189936;1189934;DEALS_WITH
1189939;1189937;DEALS_WITH
1189942;1189940;DEALS_WITH
1189945;1189943;DEALS_WITH
1189948;1189946;DEALS_WITH
1189951;1189949;DEALS_WITH
1189954;1189952;DEALS_WITH
1189957;1189955;DEALS_WITH
1189960;1189958;DEALS_WITH
1189963;1189961;DEALS_WITH
1189966;1189964;DEALS_WITH
1189969;1189967;DEALS_WITH
1189972;1189970;DEALS_WITH
1189975;1189973;DEALS_WITH
1189978;1189976;DEALS_WITH
1189981;1189979;DEALS_WITH
1189984;1189982;DEALS_WITH
1189987;1189985;DEALS_WITH
1189990;1189988;DEALS_WITH
1189993;1189991;DEALS_WITH
1189996;1189994;DEALS_WITH
1189999;1189997;DEALS_WITH
1190002;1190000;DEALS_WITH
1190005;1190003;DEALS_WITH
1190008;1190006;DEALS_WITH
1190011;1190009;DEALS_WITH
1190014;1190012;DEALS_WITH
1190017;1190015;DEALS_WITH
1190020;1190018;DEALS_WITH
1190023;1190021;DEALS_WITH
1190026;1190024;DEALS_WITH
1190029;1190027;DEALS_WITH
1190032;1190030;DEALS_WITH
1190035;1190033;DEALS_WITH
1190038;1190036;DEALS_WITH
1190041;1190039;DEALS_WITH
1190044;1190042;DEALS_WITH
1190047;1190045;DEALS_WITH
1190050;1190048;DEALS_WITH
1190053;1190051;DEALS_WITH
1190056;1190054;DEALS_WITH
1190059;1190057;DEALS_WITH
1190062;1190060;DEALS_WITH
1190065;1190063;DEALS_WITH
1190068;1190066;DEALS_WITH
1190071;1190069;DEALS_WITH
1190074;1190072;DEALS_WITH
1190077;1190075;DEALS_WITH
1190080;1190078;DEALS_WITH
1190083;1190081;DEALS_WITH
1190086;1190084;DEALS_WITH
1190089;1190087;DEALS_WITH
1190092;1190090;DEALS_WITH
1190095;1190093;DEALS_WITH
1190098;1190096;DEALS_WITH
1190101;1190099;DEALS_WITH
1190104;1190102;DEALS_WITH
1190107;1190105;DEALS_WITH
1190110;1190108;DEALS_WITH
1190113;1190111;DEALS_WITH
1190116;1190114;DEALS_WITH
1190119;1190117;DEALS_WITH
1190122;1190120;DEALS_WITH
1190125;1190123;DEALS_WITH
1190128;1190126;DEALS_WITH
1190131;1190129;DEALS_WITH
1190134;1190132;DEALS_WITH
1190137;1190135;DEALS_WITH
1190140;1190138;DEALS_WITH
1190143;1190141;DEALS_WITH
1190146;1190144;DEALS_WITH
1190149;1190147;DEALS_WITH
1190152;1190150;DEALS_WITH
1190155;1190153;DEALS_WITH
1190158;1190156;DEALS_WITH
1190161;1190159;DEALS_WITH
1190164;1190162;DEALS_WITH
1190167;1190165;DEALS_WITH
1190170;1190168;DEALS_WITH
1190173;1190171;DEALS_WITH
1190176;1190174;DEALS_WITH
1190179;1190177;DEALS_WITH
1190182;1190180;DEALS_WITH
1190185;1190183;DEALS_WITH
1190188;1190186;DEALS_WITH
1190191;1190189;DEALS_WITH
1190194;1190192;DEALS_WITH
1190197;1190195;DEALS_WITH
1190200;1190198;DEALS_WITH
1190203;1190201;DEALS_WITH
1190206;1190204;DEALS_WITH
1190209;1190207;DEALS_WITH
1190212;1190210;DEALS_WITH
1190215;1190213;DEALS_WITH
1190218;1190216;DEALS_WITH
1190221;1190219;DEALS_WITH
1190224;1190222;DEALS_WITH
1190227;1190225;DEALS_WITH
1190230;1190228;DEALS_WITH
1190233;1190231;DEALS_WITH
1190236;1190234;DEALS_WITH
