:ID;closed_date;type;open_date;:LABEL
145;2022-08-02T23:18:14.493341;Furto in Casa;2022-07-28T23:10:04.493341;Claim
148;2022-06-11T23:15:21.493429;Furto Auto;2022-06-06T23:05:15.493429;Claim
151;2022-11-02T23:14:39.494412;Furto in Casa;2022-10-28T23:06:58.494412;Claim
154;;Incendio doloso Auto;2023-01-19T23:06:45.494491;Claim
157;;Incendio doloso Casa;2022-12-13T23:10:11.494531;Claim
160;2022-11-05T23:19:30.495731;Incendio doloso Auto;2022-10-31T23:09:56.495731;Claim
163;2022-12-13T23:13:17.495794;Incendio doloso Casa;2022-12-08T23:05:39.495794;Claim
166;;Furto Auto;2022-05-12T23:10:43.495832;Claim
169;;Incidente Auto;2022-05-18T23:05:35.495868;Claim
172;;Incidente Auto;2022-08-06T23:09:34.496982;Claim
174;;Incendio doloso Auto;2022-09-23T23:08:54.497050;Claim
175;2022-08-22T23:15:38.497094;Furto Auto;2022-08-17T23:06:09.497094;Claim
