closed_date;:LABEL;open_date;:ID;type
2022-09-15T20:42:26.516358;Claim;2022-09-10T20:32:38.516358;105;Furto in Casa
2022-03-09T20:43:57.516358;Claim;2022-03-04T20:35:22.516358;108;Furto in Casa
;Claim;2022-12-17T20:32:35.517362;111;Incendio doloso Auto
;Claim;2022-08-15T20:34:30.518360;114;Incendio doloso Auto
;Claim;2022-06-26T20:30:49.518360;117;Incidente Auto
2022-03-16T20:38:30.519364;Claim;2022-03-11T20:31:46.519364;120;Incendio doloso Auto
;Claim;2023-01-02T20:34:45.519364;123;Incidente Auto
;Claim;2022-12-31T20:33:23.520359;126;Furto Auto
2022-06-03T20:42:25.520359;Claim;2022-05-29T20:35:21.520359;129;Furto in Casa
;Claim;2023-01-10T20:34:25.522358;132;Furto in Casa
2022-11-21T20:40:01.522358;Claim;2022-11-16T20:34:45.522358;135;Furto Auto
;Claim;2022-04-26T20:32:29.522358;138;Incidente Auto
;Claim;2022-07-22T20:35:45.522865;141;Incendio doloso Casa
;Claim;2022-07-12T20:30:23.522865;144;Furto in Casa
2022-08-28T20:39:52.524874;Claim;2022-08-23T20:33:51.524874;147;Furto in Casa
2023-01-13T20:41:42.524874;Claim;2023-01-08T20:32:23.524874;150;Incendio doloso Casa
2022-10-14T20:39:59.524874;Claim;2022-10-09T20:31:42.524874;153;Incidente Auto
2022-02-22T20:38:27.524874;Claim;2022-02-17T20:31:03.524874;156;Furto Auto
;Claim;2022-03-09T20:36:04.525876;159;Incendio doloso Auto
;Claim;2022-08-10T20:31:03.525876;162;Furto Auto
2022-05-30T20:40:51.526874;Claim;2022-05-25T20:30:29.526874;165;Furto Auto
;Claim;2022-05-02T20:35:59.526874;168;Incendio doloso Auto
;Claim;2022-08-10T20:32:36.526874;171;Furto in Casa
;Claim;2023-01-08T20:32:34.527878;174;Incidente Auto
;Claim;2022-05-26T20:33:41.527878;177;Furto Auto
;Claim;2022-10-08T20:30:43.527878;179;Incidente Auto
;Claim;2022-07-08T20:35:33.527878;181;Furto Auto
;Claim;2022-02-23T20:30:46.528872;183;Incendio doloso Casa
2022-08-11T20:43:25.528872;Claim;2022-08-06T20:32:37.528872;184;Incendio doloso Auto
2023-01-22T20:40:02.528872;Claim;2023-01-17T20:30:58.528872;185;Incendio doloso Casa
