:START_ID;:TYPE;:END_ID
107;DEALS_WITH;105
110;DEALS_WITH;108
113;DEALS_WITH;111
116;DEALS_WITH;114
119;DEALS_WITH;117
122;DEALS_WITH;120
125;DEALS_WITH;123
128;DEALS_WITH;126
131;DEALS_WITH;129
134;DEALS_WITH;132
137;DEALS_WITH;135
140;DEALS_WITH;138
143;DEALS_WITH;141
146;DEALS_WITH;144
149;DEALS_WITH;147
152;DEALS_WITH;150
155;DEALS_WITH;153
158;DEALS_WITH;156
161;DEALS_WITH;159
164;DEALS_WITH;162
167;DEALS_WITH;165
170;DEALS_WITH;168
173;DEALS_WITH;171
176;DEALS_WITH;174
107;DEALS_WITH;177
110;DEALS_WITH;179
113;DEALS_WITH;181
116;DEALS_WITH;183
119;DEALS_WITH;184
122;DEALS_WITH;185
