:START_ID;:END_ID;:TYPE
186;398;OPEN
191;401;OPEN
196;404;OPEN
201;407;OPEN
206;410;OPEN
211;413;OPEN
216;416;OPEN
221;419;OPEN
226;422;OPEN
231;425;OPEN
236;428;OPEN
241;431;OPEN
246;434;OPEN
251;437;OPEN
256;440;OPEN
261;443;OPEN
266;446;OPEN
271;449;OPEN
276;452;OPEN
281;455;OPEN
286;458;OPEN
291;461;OPEN
296;464;OPEN
301;467;OPEN
306;470;OPEN
311;473;OPEN
316;476;OPEN
321;479;OPEN
326;482;OPEN
331;485;OPEN
336;488;OPEN
341;491;OPEN
346;494;OPEN
351;497;OPEN
356;500;OPEN
361;503;OPEN
365;506;OPEN
369;509;OPEN
373;512;OPEN
377;515;OPEN
381;518;OPEN
384;521;OPEN
387;524;OPEN
389;527;OPEN
391;530;OPEN
393;533;OPEN
394;536;OPEN
395;539;OPEN
396;542;OPEN
397;544;OPEN
186;546;OPEN
191;548;OPEN
196;550;OPEN
201;552;OPEN
206;554;OPEN
211;555;OPEN
216;556;OPEN
221;557;OPEN
226;558;OPEN
231;559;OPEN
