closed_date;type;:LABEL;open_date;:ID
;Furto in Casa;Claim;2023-01-19T21:03:56.318093;398
;Furto in Casa;Claim;2022-08-28T21:07:24.318093;401
;Incidente Auto;Claim;2022-06-05T21:03:33.319093;404
;Incendio doloso Casa;Claim;2023-01-20T21:09:01.319093;407
2022-12-25T21:15:20.319093;Furto Auto;Claim;2022-12-20T21:08:44.319093;410
2022-07-06T21:15:11.321094;Incendio doloso Casa;Claim;2022-07-01T21:08:07.321094;413
2022-02-26T21:13:46.321094;Incidente Auto;Claim;2022-02-21T21:04:18.321094;416
2022-06-20T21:12:25.321094;Incidente Auto;Claim;2022-06-15T21:03:59.321094;419
2022-03-27T21:13:54.321094;Furto in Casa;Claim;2022-03-22T21:06:56.321094;422
;Furto Auto;Claim;2022-10-16T21:05:43.322096;425
;Incidente Auto;Claim;2022-06-26T21:05:45.323091;428
;Incendio doloso Auto;Claim;2022-02-27T21:07:04.323091;431
;Incidente Auto;Claim;2022-09-14T21:09:27.323091;434
;Furto Auto;Claim;2022-07-06T21:07:53.323091;437
;Incidente Auto;Claim;2022-07-25T21:08:01.324094;440
;Incidente Auto;Claim;2022-03-22T21:07:10.324094;443
2022-03-17T21:16:52.324094;Incendio doloso Casa;Claim;2022-03-12T21:06:10.324094;446
;Incidente Auto;Claim;2022-05-26T21:04:33.325602;449
;Furto in Casa;Claim;2022-08-15T21:04:36.325602;452
;Furto Auto;Claim;2023-01-01T21:09:10.325602;455
2023-01-01T21:17:41.326610;Incidente Auto;Claim;2022-12-27T21:07:30.326610;458
;Incendio doloso Casa;Claim;2022-09-27T21:07:24.327612;461
2022-12-25T21:16:54.327612;Furto Auto;Claim;2022-12-20T21:08:17.327612;464
2022-10-28T21:15:47.327612;Incidente Auto;Claim;2022-10-23T21:06:04.327612;467
;Furto Auto;Claim;2022-03-16T21:04:31.327612;470
;Incidente Auto;Claim;2022-10-04T21:05:26.327612;473
2022-03-14T21:11:59.327612;Furto in Casa;Claim;2022-03-09T21:06:39.327612;476
;Furto Auto;Claim;2022-05-16T21:03:48.329620;479
2022-12-09T21:13:40.329620;Incidente Auto;Claim;2022-12-04T21:07:56.329620;482
;Furto Auto;Claim;2022-03-15T21:04:34.329620;485
;Incendio doloso Auto;Claim;2022-10-22T21:06:20.329620;488
;Incendio doloso Auto;Claim;2022-02-26T21:09:11.329620;491
2022-03-31T21:13:14.329620;Furto Auto;Claim;2022-03-26T21:05:04.329620;494
;Incidente Auto;Claim;2022-08-27T21:04:34.329620;497
2023-01-07T21:15:07.330620;Incendio doloso Auto;Claim;2023-01-02T21:07:56.330620;500
2022-10-30T21:15:49.331621;Furto in Casa;Claim;2022-10-25T21:06:41.331621;503
;Incendio doloso Auto;Claim;2022-03-01T21:04:21.331621;506
;Furto Auto;Claim;2022-04-29T21:04:29.332622;509
;Incendio doloso Casa;Claim;2022-04-19T21:05:51.332622;512
;Furto Auto;Claim;2022-03-07T21:04:25.332622;515
2022-07-09T21:16:11.332622;Incidente Auto;Claim;2022-07-04T21:09:12.332622;518
;Incendio doloso Auto;Claim;2022-03-01T21:08:25.332622;521
;Incidente Auto;Claim;2022-04-05T21:09:10.332622;524
2022-06-16T21:13:21.332622;Incendio doloso Casa;Claim;2022-06-11T21:07:55.332622;527
2022-07-08T21:14:25.334625;Furto in Casa;Claim;2022-07-03T21:06:31.334625;530
;Incendio doloso Auto;Claim;2022-08-04T21:03:54.334625;533
;Furto Auto;Claim;2022-10-20T21:03:50.334625;536
2022-04-06T21:16:22.335622;Incendio doloso Casa;Claim;2022-04-01T21:08:03.335622;539
;Incendio doloso Casa;Claim;2022-05-29T21:06:07.335622;542
2022-11-30T21:15:36.335622;Incendio doloso Casa;Claim;2022-11-25T21:05:49.335622;544
2022-12-16T21:18:27.335622;Incidente Auto;Claim;2022-12-11T21:08:13.335622;546
2022-09-20T21:16:16.335622;Furto Auto;Claim;2022-09-15T21:05:25.335622;548
2022-07-09T21:15:07.335622;Furto Auto;Claim;2022-07-04T21:04:27.335622;550
;Furto in Casa;Claim;2022-04-15T21:04:05.335622;552
2022-10-27T21:17:56.336984;Furto Auto;Claim;2022-10-22T21:07:42.336984;554
2022-04-09T21:14:33.336984;Furto Auto;Claim;2022-04-04T21:08:43.336984;555
;Incidente Auto;Claim;2022-10-19T21:08:05.337987;556
;Incendio doloso Casa;Claim;2022-10-03T21:07:42.337987;557
;Incendio doloso Auto;Claim;2022-10-20T21:09:30.337987;558
2023-01-03T21:15:28.337987;Incidente Auto;Claim;2022-12-29T21:09:23.337987;559
