:START_ID;:TYPE;:END_ID
186;OPEN;398
191;OPEN;401
196;OPEN;404
201;OPEN;407
206;OPEN;410
211;OPEN;413
216;OPEN;416
221;OPEN;419
226;OPEN;422
231;OPEN;425
236;OPEN;428
241;OPEN;431
246;OPEN;434
251;OPEN;437
256;OPEN;440
261;OPEN;443
266;OPEN;446
271;OPEN;449
276;OPEN;452
281;OPEN;455
286;OPEN;458
291;OPEN;461
296;OPEN;464
301;OPEN;467
306;OPEN;470
311;OPEN;473
316;OPEN;476
321;OPEN;479
326;OPEN;482
331;OPEN;485
336;OPEN;488
341;OPEN;491
346;OPEN;494
351;OPEN;497
356;OPEN;500
361;OPEN;503
365;OPEN;506
369;OPEN;509
373;OPEN;512
377;OPEN;515
381;OPEN;518
384;OPEN;521
387;OPEN;524
389;OPEN;527
391;OPEN;530
393;OPEN;533
394;OPEN;536
395;OPEN;539
396;OPEN;542
397;OPEN;544
186;OPEN;546
191;OPEN;548
196;OPEN;550
201;OPEN;552
206;OPEN;554
211;OPEN;555
216;OPEN;556
221;OPEN;557
226;OPEN;558
231;OPEN;559
