:START_ID;:TYPE;:END_ID
399;CHECKS;398
402;CHECKS;401
405;CHECKS;404
408;CHECKS;407
411;CHECKS;410
414;CHECKS;413
417;CHECKS;416
420;CHECKS;419
423;CHECKS;422
426;CHECKS;425
429;CHECKS;428
432;CHECKS;431
435;CHECKS;434
438;CHECKS;437
441;CHECKS;440
444;CHECKS;443
447;CHECKS;446
450;CHECKS;449
453;CHECKS;452
456;CHECKS;455
459;CHECKS;458
462;CHECKS;461
465;CHECKS;464
468;CHECKS;467
471;CHECKS;470
474;CHECKS;473
477;CHECKS;476
480;CHECKS;479
483;CHECKS;482
486;CHECKS;485
489;CHECKS;488
492;CHECKS;491
495;CHECKS;494
498;CHECKS;497
501;CHECKS;500
504;CHECKS;503
507;CHECKS;506
510;CHECKS;509
513;CHECKS;512
516;CHECKS;515
519;CHECKS;518
522;CHECKS;521
525;CHECKS;524
528;CHECKS;527
531;CHECKS;530
534;CHECKS;533
537;CHECKS;536
540;CHECKS;539
543;CHECKS;542
545;CHECKS;544
547;CHECKS;546
549;CHECKS;548
551;CHECKS;550
553;CHECKS;552
399;CHECKS;554
402;CHECKS;555
405;CHECKS;556
408;CHECKS;557
411;CHECKS;558
414;CHECKS;559
