:START_ID;:TYPE;:END_ID
186;HAS_ADDRESS;187
191;HAS_ADDRESS;192
196;HAS_ADDRESS;197
201;HAS_ADDRESS;202
206;HAS_ADDRESS;207
211;HAS_ADDRESS;212
216;HAS_ADDRESS;217
221;HAS_ADDRESS;222
226;HAS_ADDRESS;227
231;HAS_ADDRESS;232
236;HAS_ADDRESS;237
241;HAS_ADDRESS;242
246;HAS_ADDRESS;247
251;HAS_ADDRESS;252
256;HAS_ADDRESS;257
261;HAS_ADDRESS;262
266;HAS_ADDRESS;267
271;HAS_ADDRESS;272
276;HAS_ADDRESS;277
281;HAS_ADDRESS;282
286;HAS_ADDRESS;287
291;HAS_ADDRESS;292
296;HAS_ADDRESS;297
301;HAS_ADDRESS;302
306;HAS_ADDRESS;307
311;HAS_ADDRESS;312
316;HAS_ADDRESS;317
321;HAS_ADDRESS;322
326;HAS_ADDRESS;327
331;HAS_ADDRESS;332
336;HAS_ADDRESS;337
341;HAS_ADDRESS;342
346;HAS_ADDRESS;347
351;HAS_ADDRESS;352
356;HAS_ADDRESS;357
361;HAS_ADDRESS;362
365;HAS_ADDRESS;366
369;HAS_ADDRESS;370
373;HAS_ADDRESS;374
377;HAS_ADDRESS;378
381;HAS_ADDRESS;382
384;HAS_ADDRESS;385
387;HAS_ADDRESS;388
389;HAS_ADDRESS;390
391;HAS_ADDRESS;392
393;HAS_ADDRESS;187
394;HAS_ADDRESS;192
395;HAS_ADDRESS;197
396;HAS_ADDRESS;202
397;HAS_ADDRESS;207
