:ID;:LABEL;type;open_date:datetime;closed_date:datetime
430;Claim;Incidente Auto;2022-07-06T01:21:20.340900;2022-07-11T01:32:02.340900
439;Claim;Furto Auto;2022-02-09T01:20:46.342899;2022-02-14T01:28:11.342899
442;Claim;Incidente Auto;2022-11-10T01:18:14.342899;2022-11-15T01:28:38.342899
448;Claim;Furto Auto;2022-06-17T01:17:09.342899;2022-06-22T01:24:57.342899
457;Claim;Furto Auto;2022-03-12T01:19:15.345167;2022-03-17T01:30:09.345167
469;Claim;Incendio doloso Auto;2023-01-03T01:16:43.345167;2023-01-08T01:23:58.345167
478;Claim;Incendio doloso Auto;2022-04-21T01:19:50.346167;2022-04-26T01:30:18.346167
484;Claim;Incidente Auto;2022-08-18T01:19:06.346167;2022-08-23T01:28:50.346167
490;Claim;Incidente Auto;2022-09-15T01:21:05.348165;2022-09-20T01:27:19.348165
505;Claim;Incidente Auto;2022-02-09T01:19:30.348165;2022-02-14T01:27:02.348165
511;Claim;Furto Auto;2022-03-28T01:19:25.350163;2022-04-02T01:24:42.350163
514;Claim;Furto in Casa;2022-06-08T01:20:20.350163;2022-06-13T01:25:47.350163
517;Claim;Incendio doloso Casa;2022-07-14T01:15:36.350163;2022-07-19T01:25:57.350163
523;Claim;Furto Auto;2022-10-02T01:19:41.350163;2022-10-07T01:28:36.350163
526;Claim;Furto Auto;2022-01-29T01:20:51.350163;2022-02-03T01:31:20.350163
532;Claim;Incidente Auto;2022-02-19T01:19:59.350163;2022-02-24T01:29:41.350163
541;Claim;Furto in Casa;2022-11-07T01:18:10.353163;2022-11-12T01:24:50.353163
547;Claim;Incendio doloso Auto;2022-10-24T01:17:47.353163;2022-10-29T01:24:15.353163
550;Claim;Incendio doloso Auto;2022-10-29T01:17:52.353163;2022-11-03T01:27:50.353163
556;Claim;Incendio doloso Casa;2022-09-06T01:21:02.353670;2022-09-11T01:28:31.353670
559;Claim;Incidente Auto;2022-11-21T01:16:50.353670;2022-11-26T01:27:07.353670
565;Claim;Incidente Auto;2022-11-15T01:18:01.355688;2022-11-20T01:28:36.355688
568;Claim;Furto in Casa;2022-06-28T01:18:00.355688;2022-07-03T01:24:21.355688
574;Claim;Incidente Auto;2022-12-10T01:17:38.355688;2022-12-15T01:24:07.355688
577;Claim;Furto Auto;2022-11-26T01:17:24.355688;2022-12-01T01:25:35.355688
580;Claim;Incendio doloso Casa;2022-04-18T01:17:29.355688;2022-04-23T01:22:54.355688
595;Claim;Furto Auto;2022-09-09T01:17:23.358688;2022-09-14T01:26:49.358688
610;Claim;Incendio doloso Casa;2022-10-12T01:19:04.358688;2022-10-17T01:26:02.358688
616;Claim;Incendio doloso Auto;2022-07-15T01:18:50.358688;2022-07-20T01:27:09.358688
619;Claim;Furto in Casa;2022-04-22T01:15:26.358688;2022-04-27T01:24:31.358688
622;Claim;Furto in Casa;2022-08-24T01:17:41.358688;2022-08-29T01:23:31.358688
625;Claim;Furto Auto;2022-04-26T01:15:50.359688;2022-05-01T01:21:22.359688
628;Claim;Incidente Auto;2022-10-16T01:20:08.359688;2022-10-21T01:26:25.359688
634;Claim;Furto in Casa;2022-02-10T01:19:11.359688;2022-02-15T01:25:29.359688
637;Claim;Incendio doloso Auto;2022-09-12T01:17:52.359688;2022-09-17T01:28:30.359688
640;Claim;Furto in Casa;2022-06-27T01:18:16.359688;2022-07-02T01:24:13.359688
646;Claim;Furto in Casa;2022-10-07T01:19:51.359688;2022-10-12T01:30:00.359688
649;Claim;Furto in Casa;2022-09-08T01:17:22.359688;2022-09-13T01:26:48.359688
661;Claim;Incidente Auto;2022-11-23T01:15:48.359688;2022-11-28T01:24:00.359688
667;Claim;Incidente Auto;2022-05-24T01:20:27.359688;2022-05-29T01:28:34.359688
673;Claim;Incendio doloso Casa;2022-07-18T01:16:28.359688;2022-07-23T01:23:55.359688
676;Claim;Furto in Casa;2022-08-28T01:16:01.359688;2022-09-02T01:23:19.359688
682;Claim;Incendio doloso Casa;2022-06-02T01:19:32.359688;2022-06-07T01:29:42.359688
