:START_ID;:END_ID;:TYPE
0;430;OPEN
5;433;OPEN
10;436;OPEN
15;439;OPEN
20;442;OPEN
25;445;OPEN
30;448;OPEN
35;451;OPEN
40;454;OPEN
45;457;OPEN
50;460;OPEN
55;463;OPEN
60;466;OPEN
65;469;OPEN
70;472;OPEN
75;475;OPEN
80;478;OPEN
85;481;OPEN
90;484;OPEN
95;487;OPEN
100;490;OPEN
105;493;OPEN
110;496;OPEN
115;499;OPEN
120;502;OPEN
125;505;OPEN
130;508;OPEN
135;511;OPEN
140;514;OPEN
145;517;OPEN
150;520;OPEN
155;523;OPEN
160;526;OPEN
165;529;OPEN
170;532;OPEN
175;535;OPEN
180;538;OPEN
185;541;OPEN
190;544;OPEN
195;547;OPEN
200;550;OPEN
205;553;OPEN
210;556;OPEN
215;559;OPEN
220;562;OPEN
225;565;OPEN
230;568;OPEN
235;571;OPEN
240;574;OPEN
245;577;OPEN
250;580;OPEN
255;583;OPEN
260;586;OPEN
265;589;OPEN
270;592;OPEN
275;595;OPEN
280;598;OPEN
285;601;OPEN
290;604;OPEN
295;607;OPEN
300;610;OPEN
305;613;OPEN
310;616;OPEN
315;619;OPEN
320;622;OPEN
325;625;OPEN
330;628;OPEN
335;631;OPEN
340;634;OPEN
345;637;OPEN
350;640;OPEN
355;643;OPEN
360;646;OPEN
365;649;OPEN
370;652;OPEN
375;655;OPEN
380;658;OPEN
385;661;OPEN
390;664;OPEN
395;667;OPEN
400;670;OPEN
402;673;OPEN
404;676;OPEN
406;679;OPEN
408;682;OPEN
410;685;OPEN
412;688;OPEN
414;691;OPEN
416;694;OPEN
418;697;OPEN
420;700;OPEN
421;703;OPEN
422;706;OPEN
423;709;OPEN
424;712;OPEN
425;715;OPEN
426;718;OPEN
427;721;OPEN
428;724;OPEN
429;727;OPEN
0;730;OPEN
5;733;OPEN
10;736;OPEN
15;739;OPEN
20;742;OPEN
25;745;OPEN
30;748;OPEN
35;751;OPEN
40;754;OPEN
45;757;OPEN
50;760;OPEN
55;763;OPEN
60;766;OPEN
65;769;OPEN
70;772;OPEN
75;775;OPEN
80;778;OPEN
85;781;OPEN
90;784;OPEN
95;787;OPEN
